"cluster","n_cells","broad_lineage","confidence","key_markers"
"0",18972,"CD4 T","high","TNFRSF4, CD40LG, IL7R, MAF, GATA3"
"1",13871,"Monocyte","high","S100A8/9/12, LYZ, RETN"
"2",12572,"NK","high","NCR1, KLRF1, KLRC1, CD160"
"3",9974,"CD4 T","high","LEF1, CCR7, TCF7, MAL"
"4",9808,"CD8 T","high","CD8A, CD8B, GZMH, ZNF683"
"5",8723,"CD4 T","high","CCR7, LEF1, TRABD2A"
"6",7493,"Monocyte","high","IL6, IL1A, IL1B, CCL20"
"7",7108,"B cell","high","IGHD, TCL1A, FCER2, IGHM"
"8",6675,"Monocyte","medium","HLA-DQA2, EGR2/3, IFI30"
"9",5875,"CD8 T","high","CD8B, LEF1, CCR7, THEMIS"
"10",5581,"Monocyte","high","SIGLEC1, MARCO, IFI44L"
"11",5497,"B cell","high","TNFRSF13B, IGHA2, IGHG1-3"
"12",4792,"Monocyte","high","CDKN1C, C1QA, MS4A4A"
"13",4756,"CD8 T","high","CD8B, CCR7, LEF1, THEMIS"
"14",4694,"CD8 T","high","GZMK, CD8A, CD8B, CCL5"
"15",4376,"Monocyte","high","TNF, CCL3/4, NFKBIA"
"16",4062,"gdT/NK","low","TRDC, KLRC2, KLRF1, NCAM1"
"17",4046,"MAIT","high","SLC4A10, KLRB1, TRGC1"
"18",1605,"Monocyte","low","TMEM176B, VSTM1, SIGLEC14"
"19",644,"DC","high","FCER1A, CD1C, CLEC10A, FLT3"
"20",540,"Proliferating","high","MKI67, TOP2A, TYMS, BIRC5"
"21",148,"HSPC","high","CD34, PROM1, AVP"
"22",25,"ILC","medium","KIT, SPINK2, IL1R1, GATA3"
"23",15,"pDC","high","CLEC4C, LILRA4, DNASE1L3"
