"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.42153150509858e-92,2.09053102934867,0.975,0.492,4.31226330427955e-88,"0","IL7R"
1.24402796261698e-85,1.72339377278363,0.993,0.674,2.21536499582832e-81,"0","LTB"
7.99317116509817e-62,1.5901335427079,0.927,0.393,1.42342392108068e-57,"0","TRAC"
5.02777096682454e-59,1.29069491750783,0.969,0.621,8.95345453772115e-55,"0","IL32"
6.20806999117143e-47,2.36127179498258,0.489,0.112,1.10553310402781e-42,"0","INPP4B"
1.93668964423564e-44,1.02097477507069,0.959,0.472,3.44885691845483e-40,"0","CD3D"
2.47238336645894e-43,1.08641240601317,0.877,0.445,4.40282029899008e-39,"0","CD2"
3.807106680616e-43,1.73257546018746,0.563,0.175,6.77969557684098e-39,"0","MAL"
4.53254854071585e-43,2.82443360247266,0.546,0.101,8.07156244130678e-39,"0","AQP3"
5.77273610369904e-41,0.929511247978196,0.914,0.417,1.02800884534673e-36,"0","CD3G"
3.62405920793952e-37,1.45323527803816,0.644,0.275,6.45372463749869e-33,"0","GPR183"
7.63014199417374e-37,1.32315215291221,0.793,0.409,1.35877568632246e-32,"0","CD69"
5.03229412012536e-36,1.94082225011511,0.525,0.147,8.96150936911924e-32,"0","TRAT1"
2.15932483137391e-35,1.35687563461955,0.691,0.303,3.84532565971066e-31,"0","RCAN3"
2.18271540702582e-32,2.66969275413787,0.322,0.052,3.88697959683158e-28,"0","CD40LG"
5.0892089541389e-32,1.03327655670021,0.792,0.389,9.06286330553055e-28,"0","TCF7"
8.02087003061843e-28,1.07815823822552,0.775,0.599,1.42835653505253e-23,"0","ITGB1"
1.07734405403688e-27,2.45841794747009,0.376,0.087,1.91853429142888e-23,"0","AP3M2"
3.76336967258894e-27,1.07950355962368,0.848,0.531,6.70180871294639e-23,"0","TRBC2"
1.17521023575448e-26,1.30873924856409,0.707,0.325,2.09281438783158e-22,"0","RORA"
5.05618807866031e-26,0.987544139489569,0.744,0.487,9.00405973047829e-22,"0","NOSIP"
1.29638762185889e-23,1.3514260814994,0.568,0.247,2.30860707700631e-19,"0","ITM2A"
2.90056742443829e-23,1.04716893006842,0.638,0.306,5.16533046943971e-19,"0","BCL11B"
4.07075874251252e-23,3.38089802666852,0.254,0.027,7.2492071686663e-19,"0","TNFRSF4"
7.78897555423081e-22,0.471464449229964,0.913,0.699,1.38706076669742e-17,"0","ARL4C"
2.10951323752301e-21,1.73295201321034,0.353,0.132,3.75662117338098e-17,"0","RGCC"
2.28652316448541e-21,1.28051808745802,0.512,0.2,4.07184045131563e-17,"0","CAMK4"
8.1852326402669e-21,1.00206245320279,0.617,0.375,1.45762622857873e-16,"0","TRBC1"
2.21095895519063e-20,0.912492320257091,0.549,0.276,3.93727570740347e-16,"0","KLRB1"
5.66189450220143e-20,0.546599523100767,0.793,0.443,1.00827017295203e-15,"0","SYNE2"
1.21890904206369e-18,1.11337244804664,0.521,0.244,2.17063322210703e-14,"0","CD27"
2.75289944058443e-17,1.88476793045028,0.395,0.139,4.90236332379276e-13,"0","MAF"
6.18912081955006e-15,1.34844350903677,0.54,0.252,1.10215863554547e-10,"0","BCL2"
4.08773486633396e-14,1.83687267555878,0.352,0.114,7.27943824996752e-10,"0","GATA3"
4.42058408915354e-14,0.97354553788142,0.49,0.293,7.87217614596462e-10,"0","ARID5B"
7.22976661357343e-14,0.871573953938126,0.436,0.246,1.28747683854516e-09,"0","PRDM1"
8.8375724018562e-14,0.774137244665156,0.756,0.556,1.57379489332255e-09,"0","PIK3R1"
1.25711661777748e-13,0.631071685995197,0.893,0.706,2.23867327293814e-09,"0","CXCR4"
6.46945812626674e-11,1.63413853823421,0.324,0.147,1.15208110312558e-06,"0","PDE4D"
1.50775863746371e-10,0.985229249766,0.521,0.39,2.68501658159537e-06,"0","LIMS1"
3.01508120936407e-10,0.621671783033934,0.45,0.241,5.36925661763553e-06,"0","LEF1"
3.51758675946231e-10,0.689228787340919,0.52,0.349,6.26411850125048e-06,"0","BIRC3"
9.51338697965859e-10,0.753626189279526,0.262,0.158,1.6941439533376e-05,"0","MYC"
3.14593981188766e-09,0.476186128787441,0.491,0.311,5.60228961700955e-05,"0","LINC00861"
1.7404531899934e-08,0.683278025466009,0.512,0.375,0.000309939904074024,"0","CRIP1"
1.8430163615541e-08,0.585646485983365,0.331,0.186,0.000328204353665554,"0","TRABD2A"
4.04615196359397e-08,1.06079560956504,0.479,0.346,0.000720538741676814,"0","TOB1"
9.07755676978545e-07,0.61566868655227,0.433,0.245,0.0161653130956339,"0","OXNAD1"
2.85074510274766e-05,0.503502747656096,0.251,0.228,0.507660687897303,"0","LPAR6"
3.05353227120702e-05,0.659879593461766,0.403,0.31,0.543773026856546,"0","PHACTR2"
0.000155507665068989,0.758619355461228,0.278,0.141,1,"0","ITGA6"
0.000174933238573779,0.328087087216793,0.533,0.471,1,"0","PLP2"
0.000449085168255804,0.738845178585147,0.358,0.258,1,"0","PTGER2"
0.000654836504073041,0.420247227834819,0.925,0.878,1,"0","JUNB"
0.00142902958531542,0.444866004530355,0.438,0.372,1,"0","LYAR"
4.48191945785982e-131,2.61096341081487,1,0.724,7.98140217055678e-127,"1","LYZ"
3.54169499624368e-125,1.99756978912216,0.999,0.697,6.30705044931075e-121,"1","TSPO"
1.12167594198481e-124,2.60844610847056,0.981,0.271,1.99748051748655e-120,"1","CSTA"
7.97395917888002e-120,2.23825207136459,0.987,0.448,1.42000265057495e-115,"1","AP1S2"
1.32246574170521e-119,1.7060333976158,1,0.961,2.35504699282863e-115,"1","S100A6"
3.13763180382505e-118,2.68709735067998,1,0.742,5.58749471625165e-114,"1","S100A9"
3.48174720566725e-118,2.2661516725916,1,0.365,6.20029542385224e-114,"1","FCN1"
2.83020554944417e-116,2.72594217138041,0.998,0.581,5.04003004245018e-112,"1","S100A8"
3.01655291360448e-113,2.45446767623752,0.998,0.491,5.37187742854686e-109,"1","FOS"
2.87282171259339e-112,2.39274193956239,0.999,0.333,5.11592090578631e-108,"1","MNDA"
1.40523686998794e-110,1.44079014083301,1,0.933,2.50244581807452e-106,"1","S100A4"
