"cluster","n_cells","broad_lineage","confidence","key_markers"
"0",23672,"Monocyte","high","CD36, CD155, CLEC12A, CD64, CD86, CD11b"
"1",15272,"CD4 T","high","CD4, CD185(CXCR5), CD278(ICOS), CD3"
"2",11449,"NK","high","CD335(NKp46), CD56, CD158b, CD16, CD337(NKp30)"
"3",11146,"Monocyte","medium","CD155, CLEC12A, CD1d, CD86, Folate receptor"
"4",9304,"CD4 T","high","CD4, CD106, CD209, CD45RB, CD27, CD3"
"5",8514,"CD8 T","high","CD8, CD8a, TIGIT, CD314(NKG2D), CD3"
"6",7990,"CD4 T","high","CD4, CD106, CD209, CD45RO, CD127"
"7",5505,"NK","high","CD335, CD158, CD56, CD337, CD16, CD161"
"8",5420,"CD8 T","high","CD8, CD8a, CD45RB, CD27, CD45RA (naive)"
"9",5316,"B cell","high","IgD, CD21, CD20, CD72, CD268, CD22, IgM"
"10",5090,"CD8 T","high","CD8, CD8a, CD185, CD275, CD314"
"11",4100,"CD8 T","high","CD8, CD8a, CD314, CD275, TIGIT"
"12",4079,"CD4 T","high","CD4, CD278(ICOS), CD25, CD127, CD28"
"13",3826,"B cell","high","CD20, CD21, CD268, CD22, CD19, CD1c"
"14",3481,"B cell","high","CD20, CD21, IgD, CD72, CD22, IgM, CD19"
"15",2854,"Monocyte","high","CD155, CD36, CD86, CD1d, CD169, CD64"
"16",2642,"Monocyte","medium","CD123, CD86, CD16, CLEC12A, CD13"
"17",2602,"DC","high","CD123, CD86, CD16, CD141(cDC1), CD172a"
"18",2166,"Monocyte","high","CD169, CD64, CD155, CLEC12A, CD36"
"19",1625,"MAIT","high","TCR-Va7.2 (MAIT), CD161, CD117, CD195"
"20",1335,"CD8 T","high","CD8, CD314, CD8a, CD45RB, CD45RA"
"21",989,"MAIT","high","TCR-Va7.2 (MAIT), CD161, CD26, CD195"
"22",713,"gdT","high","TCR-Vd2, TCR-Vg9 (gdT), CD161, CD3"
"23",708,"CD4 T","low","CD271, CD158e1, CD4, CD307e (mixed/unclear)"
"24",664,"CD4 T","high","CD195, CD4, CD275, CD185, CD271"
"25",657,"gdT","high","TCR-Vd2, TCR-Vg9 (gdT), CD161, CD3"
"26",300,"CD8 T","high","CD103, CD8, CD96, Integrin-7 (tissue-resident)"
"27",244,"CD8 T","high","CD103, CD8, Integrin-7, CD96, CD73"
"28",189,"HSPC","high","CD117, CD133, CD34, CD71 (HSPC)"
