"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.00382223051352e-145,1.67686806209928,1,0.982,2.28871468557084e-143,"0","CLEC12A"
1.16252199158024e-145,1.61867949632115,1,0.987,2.65055014080296e-143,"0","CD64"
1.76383600363659e-137,1.28408572917396,1,0.999,4.02154608829143e-135,"0","CD11b-2"
1.58805497403973e-136,1.99763389260329,0.999,0.657,3.62076534081058e-134,"0","CD36"
1.70857658923405e-132,0.497081079413993,1,1,3.89555462345363e-130,"0","CD93"
2.77042769597342e-132,0.518869454756044,1,1,6.31657514681941e-130,"0","CD62P"
5.16239641436697e-132,1.10638562657582,1,0.999,1.17702638247567e-129,"0","CD9"
6.46623570256578e-132,0.998578040047721,1,0.998,1.474301740185e-129,"0","CD11c"
1.54006137998824e-131,0.780179919035827,1,1,3.51133994637318e-129,"0","CD41"
1.15735394257461e-128,1.1697414012485,1,0.996,2.63876698907011e-126,"0","CD49b"
1.96219026654371e-126,0.384503408946792,1,1,4.47379380771966e-124,"0","CD18"
4.59429641307339e-126,1.84153754161839,0.999,0.709,1.04749958218073e-123,"0","CD155"
8.64508095074495e-126,0.634919629215968,1,1,1.97107845676985e-123,"0","CD11b-1"
1.66203945141186e-125,1.16039293141891,1,0.992,3.78944994921903e-123,"0","CD13"
5.8681817812423e-121,0.802344440273989,1,0.998,1.33794544612324e-118,"0","CD55"
1.67817307827245e-120,0.57779804028466,1,1,3.82623461846118e-118,"0","CD31"
2.04410435082469e-118,0.798676853980465,1,0.997,4.66055791988029e-116,"0","CD29"
2.67399009235282e-115,1.28817234077113,1,0.928,6.09669741056443e-113,"0","CD86"
6.3400407396128e-115,1.00477461504956,1,0.992,1.44552928863172e-112,"0","CD14"
1.79160881782152e-114,0.803405965801532,1,1,4.08486810463307e-112,"0","CD63"
3.08532621513893e-114,0.546356808359095,1,1,7.03454377051676e-112,"0","CLEC2"
2.46443680950948e-104,0.654701563195905,1,1,5.61891592568162e-102,"0","CD35"
4.88851218313358e-104,0.852585119300489,1,0.996,1.11458077775446e-101,"0","CD172a"
9.78027822876319e-104,0.957924094991394,1,0.996,2.22990343615801e-101,"0","CD42b"
1.57163861262771e-102,1.22358825070257,0.998,0.906,3.58333603679119e-100,"0","CD354"
8.05965299078748e-99,0.875991496745157,1,0.962,1.83760088189955e-96,"0","CD119"
6.87159483447436e-94,0.78878916051104,1,0.997,1.56672362226016e-91,"0","CD61"
5.77799228654884e-92,1.04869913002178,0.999,0.951,1.31738224133314e-89,"0","CD110"
6.89574970628997e-89,0.555630567207853,1,0.999,1.57223093303411e-86,"0","CD305"
9.7782621274646e-86,0.498791120470786,1,0.999,2.22944376506193e-83,"0","CD95"
4.92739172626605e-82,1.15556028176081,0.988,0.776,1.12344531358866e-79,"0","CD192"
2.92797702599924e-81,0.900659213555225,1,0.947,6.67578761927827e-79,"0","CD39"
2.83968446209004e-70,0.847206095507106,0.999,0.964,6.4744805735653e-68,"0","CD69"
7.94031164879935e-69,0.977247717168241,1,0.991,1.81039105592625e-66,"0","CD49a"
1.3092408984441e-68,0.693365987947302,0.999,0.977,2.98506924845254e-66,"0","CD54"
1.37030378901634e-64,1.16014273757245,0.992,0.924,3.12429263895726e-62,"0","Folate"
2.56553936320068e-64,0.815154734126542,0.997,0.945,5.84942974809754e-62,"0","CD235a"
1.19715980349606e-62,0.327518866555178,1,1,2.72952435197102e-60,"0","CD44-1"
2.5880041526196e-59,0.574557374532248,0.998,0.978,5.90064946797269e-57,"0","CD59"
3.01833816914355e-59,0.507510576321568,1,0.999,6.88181102564729e-57,"0","CD226"
1.29574610193074e-56,0.757519892267583,0.999,0.955,2.95430111240208e-54,"0","TIM-4"
2.14329119073225e-52,0.330493683981952,1,0.998,4.88670391486952e-50,"0","CD196"
3.37339616311621e-49,0.456495907339688,1,0.999,7.69134325190495e-47,"0","CD107a"
1.51635793388632e-48,0.499289397953733,1,1,3.4572960892608e-46,"0","CD244"
1.94142741830775e-46,0.594087652763108,0.997,0.942,4.42645451374166e-44,"0","CD141"
4.29530900496236e-43,0.394889825965918,1,0.997,9.79330453131418e-41,"0","CD205"
5.39676918744112e-42,0.401535250668486,1,0.994,1.23046337473658e-39,"0","CD366"
7.01799468007715e-42,0.460737277389518,0.999,0.983,1.60010278705759e-39,"0","HLA-DR"
7.66442759021058e-41,0.450973186689079,1,0.993,1.74748949056801e-38,"0","CD71"
3.138895465147e-39,0.273875019429742,1,1,7.15668166053516e-37,"0","CD307e"
2.47641095416195e-38,0.416126100282548,1,1,5.64621697548925e-36,"0","CD38-1"
1.14239609735286e-37,0.606662960597134,0.987,0.909,2.60466310196452e-35,"0","CD66a/c/e"
1.61937169927526e-33,0.638285625373221,0.981,0.861,3.6921674743476e-31,"0","CD164"
6.25254772739501e-30,0.526212411862472,0.992,0.936,1.42558088184606e-27,"0","CD163"
6.95722254505197e-29,0.443987806612711,0.994,0.964,1.58624674027185e-26,"0","CD112"
4.13902305437041e-25,0.312046619219411,1,0.998,9.43697256396453e-23,"0","CD38-2"
2.25159815728894e-23,1.77345456141716,0.367,0.11,5.13364379861879e-21,"0","TSLPR"
2.98556963614078e-20,1.1350685788717,0.913,0.784,6.80709877040097e-18,"0","CD169"
3.1306607746436e-20,0.495535554558755,0.986,0.93,7.13790656618741e-18,"0","CD15"
1.79812168988214e-19,0.686816744659046,0.975,0.896,4.09971745293128e-17,"0","CD304"
1.70706913092295e-16,0.380065703536651,0.981,0.808,3.89211761850434e-14,"0","CD1d"
1.57182637858686e-15,0.275434793375867,0.991,0.948,3.58376414317803e-13,"0","CD98"
5.01381298663334e-13,0.339805970937978,0.956,0.855,1.1431493609524e-10,"0","CD85g"
1.16134836811191e-12,0.355062333557303,0.994,0.95,2.64787427929517e-10,"0","GP130"
2.18588895621612e-08,0.255405513985499,0.908,0.791,4.98382682017274e-06,"0","CD11a/CD18"
1.6124719004086e-95,0.67176275267724,1,0.994,3.67643593293161e-93,"1","CD325"
1.53054354652337e-92,1.36401647049908,1,0.858,3.48963928607328e-90,"1","CD4-2"
2.2257828906803e-91,0.627509817091166,1,1,5.07478499075109e-89,"1","CD4-1"
3.26049223166655e-88,1.07161506895332,0.999,0.894,7.43392228819973e-86,"1","CD275-1"
9.88641003009095e-78,0.652684108821734,1,0.999,2.25410148686074e-75,"1","CD28"
6.15465943607911e-77,0.719841532535093,0.999,0.959,1.40326235142604e-74,"1","CD138-1"
8.11994124199856e-73,0.562981333607871,1,0.992,1.85134660317567e-70,"1","CD194"
2.44020601418812e-68,0.785702048757827,1,0.995,5.56366971234891e-66,"1","CD127"
4.28769008490577e-68,0.759376263195718,1,0.998,9.77593339358515e-66,"1","CD3-1"
7.59899887428206e-67,0.741680404250984,1,0.991,1.73257174333631e-64,"1","CD278"
9.4977815707248e-63,0.585813444431719,0.999,0.971,2.16549419812525e-60,"1","Siglec-8"
5.63364038737614e-60,0.567816077615201,1,0.999,1.28447000832176e-57,"1","TCR-2"
6.06784937605591e-59,0.475995081673029,1,0.991,1.38346965774075e-56,"1","CD324"
1.56926249275903e-55,0.40290334405843,1,1,3.57791848349058e-53,"1","CD109"
1.91025693641272e-55,0.587335708744736,1,0.995,4.35538581502099e-53,"1","CD26-2"
3.33381947175168e-52,0.686615626266943,1,1,7.60110839559383e-50,"1","CD27"
1.78127913662813e-51,0.716748178125015,1,0.999,4.06131643151214e-49,"1","CD3-2"
2.78037136904779e-46,0.522888864255034,0.999,0.956,6.33924672142897e-44,"1","CD338"
4.7192862559676e-45,0.396667816990941,1,0.988,1.07599726636061e-42,"1","CD202b"
1.71139974209306e-44,0.391514794128116,0.999,0.984,3.90199141197218e-42,"1","Rat-IgG1-2"
1.22418450891722e-43,0.373408246882115,0.999,0.989,2.79114068033125e-41,"1","Rat-IgG1-1"
4.07406488843697e-43,0.505766117914183,0.988,0.926,9.2888679456363e-41,"1","CD83"
1.54040531666618e-42,0.343796946380396,0.999,0.988,3.51212412199889e-40,"1","CD138-2"
1.08931414263541e-39,0.617050020365702,0.983,0.846,2.48363624520873e-37,"1","CD68"
7.20965969315967e-39,0.459332653144127,0.999,0.971,1.6438024100404e-36,"1","CD370"
1.21322369718806e-37,1.19236359248864,0.9,0.622,2.76615002958878e-35,"1","CD185"
