"cluster","n_cells","l1_lineage","pct_agreement"
"0",11321,"Mono",100
"1",9908,"CD4 T",98.5
"2",8927,"CD4 T",99.4
"3",8368,"CD4 T",99.4
"4",7452,"CD4 T",99.2
"5",6689,"NK",100
"6",4912,"Mono",100
"7",4882,"CD8 T",96.5
"8",4839,"B",100
"9",4775,"CD8 T",98.7
"10",4738,"Mono",99.5
"11",4779,"NK",98.7
"12",4350,"Mono",99.8
"13",4090,"B",100
"14",3965,"Mono",99.9
"15",3768,"CD8 T",92
"16",2974,"Mono",100
"17",2753,"CD8 T",93.8
"18",2724,"CD8 T",73.9
"19",2691,"Mono",99.9
"20",2691,"CD8 T",83.9
"21",2651,"NK",95.1
"22",2628,"Mono",99.9
"23",2373,"B",100
"24",2099,"Mono",100
"25",1971,"CD8 T",73.3
"26",1955,"CD4 T",99.5
"27",1665,"Mono",99.9
"28",1646,"other T",97.6
"29",1450,"Mono",100
"30",1300,"B",100
"31",1222,"CD8 T",96.7
"32",986,"DC",67.8
"33",980,"NK",99.9
"34",975,"other T",97.4
"35",895,"NK",98.3
"36",716,"CD4 T",99.2
"37",713,"other T",99.7
"38",711,"Mono",85.7
"39",701,"CD4 T",99
"40",637,"other T",99.1
"41",626,"Mono",100
"42",547,"NK",85.7
"43",279,"CD8 T",98.6
"44",265,"NK",51.3
"45",148,"other",100
"46",42,"other",97.6
"47",41,"CD4 T",95.1
"48",34,"other",55.9
