"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.59530606811371e-110,0.975656390036171,1,0.993,3.63729783529925e-108,"0","CD14"
1.70762366209575e-110,1.13253782359096,1,0.823,3.89338194957831e-108,"0","CD1d"
1.59532649603138e-87,1.43762922709944,0.999,0.737,3.63734441095155e-85,"0","CD155"
7.43080603376185e-86,1.08932332359236,1,0.934,1.6942237756977e-83,"0","CD86"
2.91630624985467e-85,0.467660712255892,1,1,6.64917824966866e-83,"0","CD11b-1"
1.25012626128941e-80,0.891853075238837,1,0.999,2.85028787573985e-78,"0","CD11b-2"
6.22614505297455e-79,0.742626198733619,1,0.996,1.4195610720782e-76,"0","CD172a"
1.69000678984314e-73,0.656441593158852,1,0.998,3.85321548084236e-71,"0","CD61"
7.01215956873879e-73,0.342936921877713,1,1,1.59877238167244e-70,"0","CD93"
1.39714573162693e-72,0.440702957453347,1,1,3.1854922681094e-70,"0","CD31"
2.39893065120761e-71,0.927127052632381,1,0.914,5.46956188475335e-69,"0","CD354"
1.88002430451984e-70,0.999292816070444,1,0.989,4.28645541430524e-68,"0","CD64"
5.23251207427811e-68,0.495619837070359,1,1,1.19301275293541e-65,"0","CD35"
2.28522586329915e-65,0.627403793669543,1,0.998,5.21031496832206e-63,"0","CD11c"
9.4158749126168e-63,1.14340040925367,0.999,0.689,2.14681948007663e-60,"0","CD36"
5.15131273513926e-62,1.03850857890038,1,0.93,1.17449930361175e-59,"0","Folate"
5.4934472621696e-60,1.16030791470415,1,0.984,1.25250597577467e-57,"0","CLEC12A"
3.09852704211991e-59,0.717489229527704,1,0.952,7.06464165603339e-57,"0","CD39"
2.57307616418792e-56,0.449866399827161,1,1,5.86661365434845e-54,"0","CD63"
9.67595163063381e-56,0.857294774864799,1,0.897,2.20611697178451e-53,"0","CD275-1"
2.55284380077137e-55,0.65697394067915,1,0.947,5.82048386575872e-53,"0","CD141"
1.38495083169194e-53,0.412011334755809,1,0.998,3.15768789625762e-51,"0","CD205"
1.57978863521112e-52,0.50263382790783,1,0.994,3.60191808828134e-50,"0","CD325"
5.04850180522993e-50,0.584817831119041,1,0.965,1.15105841159242e-47,"0","CD119"
5.37095647257919e-50,0.750756422237371,0.999,0.849,1.22457807574806e-47,"0","CD68"
3.30916514842996e-47,0.424078274910878,1,0.995,7.54489653842031e-45,"0","CD366"
4.87777601218826e-46,0.63048583788385,1,0.967,1.11213293077892e-43,"0","CD69"
3.15298805505468e-45,0.450245882393931,1,0.999,7.18881276552467e-43,"0","CD55"
1.42557825716725e-42,0.508197831951701,0.999,0.96,3.25031842634133e-40,"0","CD138-1"
4.19982762215904e-40,0.356875666031077,1,0.999,9.57560697852261e-38,"0","CD305"
2.18429338637778e-38,0.433582687601268,1,0.999,4.98018892094134e-36,"0","CD9"
3.12686971294923e-37,0.471534799060732,1,0.972,7.12926294552425e-35,"0","CD370"
3.89656779145956e-36,0.267174330436265,1,1,8.8841745645278e-34,"0","CD41"
