"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.37617216767949e-128,2.52885706849468,1,0.73,6.01228739620364e-124,"0","LYZ"
4.16486365787522e-126,2.59941608290377,0.999,0.501,7.41678920194419e-122,"0","FOS"
8.3738434625061e-124,1.93944918482576,0.999,0.703,1.49121404380309e-119,"0","TSPO"
4.7067447500295e-118,2.61345912491598,1,0.747,8.38177105085253e-114,"0","S100A9"
3.25453775461083e-116,2.2980509308077,0.999,0.346,5.79568083341097e-112,"0","MNDA"
1.91456917911156e-114,2.51444039790878,0.98,0.285,3.40946479416186e-110,"0","CSTA"
6.65599795452129e-114,2.60851420255765,1,0.589,1.18530011574115e-109,"0","S100A8"
1.32752368125858e-107,1.64296327449813,1,0.961,2.36405417158528e-103,"0","S100A6"
2.02251204553691e-107,2.62041988431579,0.957,0.269,3.60168945069213e-103,"0","S100A12"
2.16828529062755e-106,2.11027434318225,0.991,0.409,3.86128244554954e-102,"0","TYMP"
2.66383789314558e-106,2.42984147476155,0.975,0.267,4.74376252011364e-102,"0","MS4A6A"
5.03504719662775e-106,2.11572438096494,1,0.378,8.9664120477547e-102,"0","FCN1"
4.4106033820288e-105,2.11272043520867,0.986,0.458,7.85440250271689e-101,"0","AP1S2"
2.64681985171025e-104,1.60348826168186,1,0.998,4.71345679192561e-100,"0","FTL"
5.33343195830225e-104,1.73048067910111,1,0.726,9.49777563134464e-100,"0","S100A11"
6.25592571639642e-103,2.03332274606598,1,0.44,1.11405525157587e-98,"0","CST3"
2.79397580787706e-100,1.85010788718588,0.998,0.608,4.97551211866748e-96,"0","DUSP1"
3.95163419573495e-98,1.37055203435591,1,0.935,7.0370701757648e-94,"0","S100A4"
2.10760597349975e-97,2.19429642570393,0.985,0.27,3.75322471760835e-93,"0","CD14"
2.12663933895563e-96,1.99906793825606,0.987,0.362,3.78711933481219e-92,"0","GRN"
6.45175167102833e-96,1.81643318554831,0.996,0.34,1.14892793757672e-91,"0","VCAN"
