"cluster","n_cells","broad_lineage","fine_label"
"0",11321,"Monocyte","Monocyte - Classical"
"1",9908,"CD4 T","CD4 T - CXCR5+/ICOS+ (Tfh-like)"
"2",8927,"CD4 T","CD4 T - Naive (CCR7+)"
"3",8368,"CD4 T","CD4 T - CCR6+ (Th17-like)"
"4",7452,"CD4 T","CD4 T - Naive subset 2"
"5",6689,"NK","NK - CD16+ CD56dim"
"6",4912,"Monocyte","Monocyte - Non-classical/IFN-stimulated"
"7",4882,"CD8 T","CD8 T - Naive"
"8",4839,"B cell","B cell - Naive IgD+"
"9",4775,"CD8 T","CD8 T - Naive subset 2"
"10",4738,"Monocyte","Monocyte - Inflammatory (IL1/IL6/CCL20)"
"11",4779,"NK","NK - CD16+ (KLRF1+)"
"12",4350,"Monocyte","Monocyte - Inflammatory (TNF+)"
"13",4090,"B cell","B cell - Memory/class-switched"
"14",3965,"Monocyte","Monocyte - HLA-DQA2+"
"15",3768,"CD8 T","CD8 T - Cytotoxic/Effector (GZMH+EOMES+)"
"16",2974,"Monocyte","Monocyte - Non-classical CD16+"
"17",2753,"CD8 T","CD8 T - Effector Memory (GZMK+)"
"18",2724,"CD8 T","CD8 T - Adaptive/tissue-resident (KIR+)"
"19",2691,"Monocyte","Monocyte - Inflammatory subset 2"
"20",2691,"CD8 T","CD8 T - Tissue-resident (CD103+)"
"21",2651,"NK","NK - Adaptive (KIR+)"
"22",2628,"Monocyte","Monocyte - IFN-stimulated"
"23",2373,"B cell","B cell - Naive subset 2"
"24",2099,"Monocyte","Monocyte - Non-classical subset 2"
"25",1971,"CD8 T","CD8 T - Terminal effector (GNLY+)"
"26",1955,"CD4 T","CD4 T - Naive subset 3"
"27",1665,"Monocyte","Monocyte - CYP1B1+"
"28",1646,"MAIT","MAIT - subset 1"
"29",1450,"Monocyte","Monocyte - Classical subset 2"
"30",1300,"B cell","B cell - Plasmablast-like (JCHAIN+)"
"31",1222,"CD8 T","CD8 T - Naive subset 3"
"32",986,"DC","DC - cDC2"
"33",980,"NK","NK - CD56bright"
"34",975,"MAIT","MAIT - subset 2"
"35",895,"NK","NK - Adaptive (KIR+ CD57+)"
"36",716,"CD4 T","CD4 T - CTL-like *"
"37",713,"gdT","gdT - Vgamma9/Vdelta2"
"38",711,"Platelet","Platelet"
"39",701,"CD4 T","CD4 T - Cytotoxic (GZMH+)"
"40",637,"gdT","gdT - subset 2"
"41",626,"Monocyte","Monocyte - Macrophage-like (C1Q+)"
"42",547,"Proliferating","Proliferating - NK"
"43",279,"CD8 T","CD8 T - Tissue-resident subset 2"
"44",265,"NK","NK - atypical *"
"45",148,"HSPC","HSPC - CD34+CD117+"
"46",42,"ILC","ILC *"
"47",41,"CD4 T","CD4 T - GATA3+ (Th2-like)"
"48",34,"Erythrocyte","Erythrocyte (ambient RBC contamination)"
